global_id,street_name,house_number,house_number_suffix,postcode,city,province,price,living_area,plot_area,rooms,bedrooms,energy_label,status,description,offering_type,publication_date
90000015,Keizersgracht,9,,1015CJ,Amsterdam,Noord-Holland,775758,65,154,2,1,E,onder bod,Ruim appartement met balkon aan de Keizersgracht.,koop,2024-01-15
90000016,Keizersgracht,11,,1015CJ,Amsterdam,Noord-Holland,716373,87,185,2,1,B,beschikbaar,Lichte bovenwoning aan de Keizersgracht.,koop,2024-01-15
90000017,Keizersgracht,13,,1015CJ,Amsterdam,Noord-Holland,729221,160,87,5,4,A,beschikbaar,"Compacte woning dichtbij het centrum, Keizersgracht.",koop,2024-01-15
90000018,Keizersgracht,15,,1015CJ,Amsterdam,Noord-Holland,583234,46,191,2,1,A,beschikbaar,"Karakteristiek pand in het centrum, Keizersgracht.",koop,2024-01-15
90000019,Keizersgracht,17,,1015CJ,Amsterdam,Noord-Holland,764622,116,,3,2,A,beschikbaar,"Compacte woning dichtbij het centrum, Keizersgracht.",koop,2024-01-15
90000020,Keizersgracht,19,,1015CJ,Amsterdam,Noord-Holland,589200,155,135,5,4,C,verkocht onder voorbehoud,Lichte bovenwoning aan de Keizersgracht.,koop,2024-01-15
90000021,Vondelstraat,1,,1054GD,Amsterdam,Noord-Holland,594761,159,76,5,4,B,beschikbaar,Modern herenhuis aan de Vondelstraat.,koop,2024-01-15
90000022,Vondelstraat,3,,1054GD,Amsterdam,Noord-Holland,677346,147,,4,3,A,beschikbaar,"Karakteristiek pand in het centrum, Vondelstraat.",koop,2024-01-15
90000023,Vondelstraat,5,,1054GD,Amsterdam,Noord-Holland,726828,169,105,5,4,A,beschikbaar,Lichte bovenwoning aan de Vondelstraat.,koop,2024-01-15
90000024,Vondelstraat,7,,1054GD,Amsterdam,Noord-Holland,592962,180,160,6,5,A,beschikbaar,"Compacte woning dichtbij het centrum, Vondelstraat.",koop,2024-01-15
90000025,Vondelstraat,9,,1054GD,Amsterdam,Noord-Holland,585418,105,175,3,2,A,onder bod,"Compacte woning dichtbij het centrum, Vondelstraat.",koop,2024-01-15
90000026,Vondelstraat,11,,1054GD,Amsterdam,Noord-Holland,657361,178,96,5,4,A,verkocht onder voorbehoud,Ruim appartement met balkon aan de Vondelstraat.,koop,2024-01-15
90000027,Vondelstraat,13,,1054GD,Amsterdam,Noord-Holland,695136,162,222,5,4,F,beschikbaar,"Compacte woning dichtbij het centrum, Vondelstraat.",koop,2024-01-15
90000028,Vondelstraat,15,,1054GD,Amsterdam,Noord-Holland,654303,139,142,4,3,E,verkocht onder voorbehoud,"Compacte woning dichtbij het centrum, Vondelstraat.",koop,2024-01-15
90000029,Vondelstraat,17,,1054GD,Amsterdam,Noord-Holland,628371,84,184,2,1,A,beschikbaar,Lichte bovenwoning aan de Vondelstraat.,koop,2024-01-15
90000030,Vondelstraat,19,,1054GD,Amsterdam,Noord-Holland,643670,115,115,3,2,D,verkocht onder voorbehoud,Ruim appartement met balkon aan de Vondelstraat.,koop,2024-01-15
90000031,Overtoom,1,,1054HN,Amsterdam,Noord-Holland,585965,139,,4,3,A,beschikbaar,"Karakteristiek pand in het centrum, Overtoom.",koop,2024-01-15
90000032,Overtoom,3,,1054HN,Amsterdam,Noord-Holland,737702,71,173,2,1,E,beschikbaar,Lichte bovenwoning aan de Overtoom.,koop,2024-01-15
90000033,Overtoom,5,,1054HN,Amsterdam,Noord-Holland,581497,86,,2,1,E,beschikbaar,Ruim appartement met balkon aan de Overtoom.,koop,2024-01-15
90000034,Overtoom,7,,1054HN,Amsterdam,Noord-Holland,698388,85,,2,1,A,beschikbaar,Ruim appartement met balkon aan de Overtoom.,koop,2024-01-15
90000035,Overtoom,9,,1054HN,Amsterdam,Noord-Holland,581203,123,,4,3,E,beschikbaar,Lichte bovenwoning aan de Overtoom.,koop,2024-01-15
90000036,Overtoom,11,,1054HN,Amsterdam,Noord-Holland,667050,116,,3,2,G,beschikbaar,Lichte bovenwoning aan de Overtoom.,koop,2024-01-15
90000037,Overtoom,13,,1054HN,Amsterdam,Noord-Holland,689398,54,141,2,1,B,beschikbaar,"Compacte woning dichtbij het centrum, Overtoom.",koop,2024-01-15
90000038,Overtoom,15,,1054HN,Amsterdam,Noord-Holland,763594,45,,2,1,E,verkocht onder voorbehoud,Lichte bovenwoning aan de Overtoom.,koop,2024-01-15
90000039,Overtoom,17,,1054HN,Amsterdam,Noord-Holland,749821,76,,2,1,B,beschikbaar,Modern herenhuis aan de Overtoom.,koop,2024-01-15
90000040,Overtoom,19,,1054HN,Amsterdam,Noord-Holland,736353,94,127,3,2,D,beschikbaar,"Compacte woning dichtbij het centrum, Overtoom.",koop,2024-01-15
90000041,Ferdinand Bolstraat,1,,1072LM,Amsterdam,Noord-Holland,659475,118,231,3,2,C,verkocht onder voorbehoud,Modern herenhuis aan de Ferdinand Bolstraat.,koop,2024-01-15
90000042,Ferdinand Bolstraat,3,,1072LM,Amsterdam,Noord-Holland,740921,88,,2,1,B,verkocht onder voorbehoud,"Compacte woning dichtbij het centrum, Ferdinand Bolstraat.",koop,2024-01-15
90000043,Ferdinand Bolstraat,5,,1072LM,Amsterdam,Noord-Holland,735241,95,41,3,2,A,beschikbaar,Sfeervolle woning aan de Ferdinand Bolstraat.,koop,2024-01-15
90000044,Ferdinand Bolstraat,7,,1072LM,Amsterdam,Noord-Holland,576453,143,92,4,3,A,verkocht onder voorbehoud,Sfeervolle woning aan de Ferdinand Bolstraat.,koop,2024-01-15
90000045,Ferdinand Bolstraat,9,,1072LM,Amsterdam,Noord-Holland,694658,163,93,5,4,F,beschikbaar,Ruim appartement met balkon aan de Ferdinand Bolstraat.,koop,2024-01-15
90000046,Ferdinand Bolstraat,11,,1072LM,Amsterdam,Noord-Holland,769944,154,,5,4,C,beschikbaar,Modern herenhuis aan de Ferdinand Bolstraat.,koop,2024-01-15
90000047,Ferdinand Bolstraat,13,,1072LM,Amsterdam,Noord-Holland,762051,178,91,5,4,B,beschikbaar,"Karakteristiek pand in het centrum, Ferdinand Bolstraat.",koop,2024-01-15
90000048,Ferdinand Bolstraat,15,,1072LM,Amsterdam,Noord-Holland,635623,126,,4,3,A,beschikbaar,Modern herenhuis aan de Ferdinand Bolstraat.,koop,2024-01-15
90000049,Ferdinand Bolstraat,17,,1072LM,Amsterdam,Noord-Holland,757327,60,137,2,1,B,onder bod,Sfeervolle woning aan de Ferdinand Bolstraat.,koop,2024-01-15
90000050,Ferdinand Bolstraat,19,,1072LM,Amsterdam,Noord-Holland,676936,101,99,3,2,B,beschikbaar,"Karakteristiek pand in het centrum, Ferdinand Bolstraat.",koop,2024-01-15
90000051,Oudegracht,1,,3511AZ,Utrecht,Utrecht,472639,51,139,2,1,A,beschikbaar,Sfeervolle woning aan de Oudegracht.,koop,2024-01-15
90000052,Oudegracht,3,,3511AZ,Utrecht,Utrecht,491131,131,,4,3,B,beschikbaar,Sfeervolle woning aan de Oudegracht.,koop,2024-01-15
90000053,Oudegracht,5,,3511AZ,Utrecht,Utrecht,435553,102,,3,2,D,verkocht onder voorbehoud,Sfeervolle woning aan de Oudegracht.,koop,2024-01-15
90000054,Oudegracht,7,,3511AZ,Utrecht,Utrecht,600494,50,,2,1,A,beschikbaar,Sfeervolle woning aan de Oudegracht.,koop,2024-01-15
90000055,Oudegracht,9,,3511AZ,Utrecht,Utrecht,453337,74,,2,1,A,beschikbaar,"Compacte woning dichtbij het centrum, Oudegracht.",koop,2024-01-15
90000056,Oudegracht,11,,3511AZ,Utrecht,Utrecht,606040,141,213,4,3,A,onder bod,Lichte bovenwoning aan de Oudegracht.,koop,2024-01-15
90000057,Oudegracht,13,,3511AZ,Utrecht,Utrecht,633726,122,,4,3,C,beschikbaar,"Compacte woning dichtbij het centrum, Oudegracht.",koop,2024-01-15
90000058,Oudegracht,15,,3511AZ,Utrecht,Utrecht,514451,154,,5,4,A,verkocht onder voorbehoud,Sfeervolle woning aan de Oudegracht.,koop,2024-01-15
90000059,Oudegracht,17,,3511AZ,Utrecht,Utrecht,561772,162,,5,4,B,verkocht onder voorbehoud,Lichte bovenwoning aan de Oudegracht.,koop,2024-01-15
90000060,Oudegracht,19,,3511AZ,Utrecht,Utrecht,498119,113,92,3,2,E,beschikbaar,Modern herenhuis aan de Oudegracht.,koop,2024-01-15
90000061,Neude,1,,3512JJ,Utrecht,Utrecht,552808,142,156,4,3,E,beschikbaar,Ruim appartement met balkon aan de Neude.,koop,2024-01-15
90000062,Neude,3,,3512JJ,Utrecht,Utrecht,447442,115,,3,2,C,beschikbaar,Ruim appartement met balkon aan de Neude.,koop,2024-01-15
90000063,Neude,5,,3512JJ,Utrecht,Utrecht,505270,49,86,2,1,B,beschikbaar,Lichte bovenwoning aan de Neude.,koop,2024-01-15
90000064,Neude,7,,3512JJ,Utrecht,Utrecht,485434,129,146,4,3,B,beschikbaar,Sfeervolle woning aan de Neude.,koop,2024-01-15
90000065,Neude,9,,3512JJ,Utrecht,Utrecht,624283,94,153,3,2,B,onder bod,"Compacte woning dichtbij het centrum, Neude.",koop,2024-01-15
90000066,Neude,11,,3512JJ,Utrecht,Utrecht,439293,48,,2,1,A,beschikbaar,"Compacte woning dichtbij het centrum, Neude.",koop,2024-01-15
90000067,Neude,13,,3512JJ,Utrecht,Utrecht,514314,48,,2,1,C,beschikbaar,Ruim appartement met balkon aan de Neude.,koop,2024-01-15
90000068,Neude,15,,3512JJ,Utrecht,Utrecht,576262,167,46,5,4,B,beschikbaar,Lichte bovenwoning aan de Neude.,koop,2024-01-15
90000069,Neude,17,,3512JJ,Utrecht,Utrecht,632287,75,,2,1,B,onder bod,"Compacte woning dichtbij het centrum, Neude.",koop,2024-01-15
90000070,Neude,19,,3512JJ,Utrecht,Utrecht,537415,160,,5,4,B,onder bod,"Karakteristiek pand in het centrum, Neude.",koop,2024-01-15
90000071,Biltstraat,1,,3572AR,Utrecht,Utrecht,543096,106,49,3,2,A,beschikbaar,Lichte bovenwoning aan de Biltstraat.,koop,2024-01-15
90000072,Biltstraat,3,,3572AR,Utrecht,Utrecht,579609,161,89,5,4,F,verkocht onder voorbehoud,Lichte bovenwoning aan de Biltstraat.,koop,2024-01-15
90000073,Biltstraat,5,,3572AR,Utrecht,Utrecht,443719,102,,3,2,F,beschikbaar,Sfeervolle woning aan de Biltstraat.,koop,2024-01-15
90000074,Biltstraat,7,,3572AR,Utrecht,Utrecht,530515,118,149,3,2,D,verkocht onder voorbehoud,"Karakteristiek pand in het centrum, Biltstraat.",koop,2024-01-15
90000075,Biltstraat,9,,3572AR,Utrecht,Utrecht,578910,109,88,3,2,G,onder bod,Sfeervolle woning aan de Biltstraat.,koop,2024-01-15
90000076,Biltstraat,11,,3572AR,Utrecht,Utrecht,448918,91,,3,2,B,beschikbaar,Modern herenhuis aan de Biltstraat.,koop,2024-01-15
90000077,Biltstraat,13,,3572AR,Utrecht,Utrecht,529976,86,207,2,1,C,verkocht onder voorbehoud,"Compacte woning dichtbij het centrum, Biltstraat.",koop,2024-01-15
90000078,Biltstraat,15,,3572AR,Utrecht,Utrecht,559898,125,59,4,3,G,beschikbaar,Sfeervolle woning aan de Biltstraat.,koop,2024-01-15
90000079,Biltstraat,17,,3572AR,Utrecht,Utrecht,459344,158,,5,4,A,onder bod,"Karakteristiek pand in het centrum, Biltstraat.",koop,2024-01-15
90000080,Biltstraat,19,,3572AR,Utrecht,Utrecht,569769,106,,3,2,B,beschikbaar,Modern herenhuis aan de Biltstraat.,koop,2024-01-15
90000081,Amsterdamsestraatweg,1,,3513AB,Utrecht,Utrecht,555646,74,60,2,1,C,beschikbaar,Lichte bovenwoning aan de Amsterdamsestraatweg.,koop,2024-01-15
90000082,Amsterdamsestraatweg,3,,3513AB,Utrecht,Utrecht,558232,107,67,3,2,B,onder bod,Lichte bovenwoning aan de Amsterdamsestraatweg.,koop,2024-01-15
90000083,Amsterdamsestraatweg,5,,3513AB,Utrecht,Utrecht,499144,151,231,5,4,C,beschikbaar,Lichte bovenwoning aan de Amsterdamsestraatweg.,koop,2024-01-15
90000084,Amsterdamsestraatweg,7,,3513AB,Utrecht,Utrecht,509352,133,225,4,3,C,beschikbaar,Ruim appartement met balkon aan de Amsterdamsestraatweg.,koop,2024-01-15
90000085,Amsterdamsestraatweg,9,,3513AB,Utrecht,Utrecht,598982,166,,5,4,E,beschikbaar,Lichte bovenwoning aan de Amsterdamsestraatweg.,koop,2024-01-15
90000086,Amsterdamsestraatweg,11,,3513AB,Utrecht,Utrecht,646522,77,,2,1,C,beschikbaar,Modern herenhuis aan de Amsterdamsestraatweg.,koop,2024-01-15
90000087,Amsterdamsestraatweg,13,,3513AB,Utrecht,Utrecht,465464,48,,2,1,B,verkocht onder voorbehoud,Sfeervolle woning aan de Amsterdamsestraatweg.,koop,2024-01-15
90000088,Amsterdamsestraatweg,15,,3513AB,Utrecht,Utrecht,524617,65,,2,1,E,onder bod,"Karakteristiek pand in het centrum, Amsterdamsestraatweg.",koop,2024-01-15
90000089,Amsterdamsestraatweg,17,,3513AB,Utrecht,Utrecht,624326,103,,3,2,B,beschikbaar,Lichte bovenwoning aan de Amsterdamsestraatweg.,koop,2024-01-15
90000090,Amsterdamsestraatweg,19,,3513AB,Utrecht,Utrecht,564242,59,125,2,1,B,beschikbaar,Modern herenhuis aan de Amsterdamsestraatweg.,koop,2024-01-15
90000091,Twijnstraat,1,,3511ZK,Utrecht,Utrecht,592222,172,,5,4,A,beschikbaar,"Karakteristiek pand in het centrum, Twijnstraat.",koop,2024-01-15
90000092,Twijnstraat,3,,3511ZK,Utrecht,Utrecht,592493,85,118,2,1,G,beschikbaar,Modern herenhuis aan de Twijnstraat.,koop,2024-01-15
90000093,Twijnstraat,5,,3511ZK,Utrecht,Utrecht,502392,105,121,3,2,C,verkocht onder voorbehoud,Sfeervolle woning aan de Twijnstraat.,koop,2024-01-15
90000094,Twijnstraat,7,,3511ZK,Utrecht,Utrecht,584138,172,,5,4,F,beschikbaar,"Karakteristiek pand in het centrum, Twijnstraat.",koop,2024-01-15
90000095,Twijnstraat,9,,3511ZK,Utrecht,Utrecht,603482,109,,3,2,D,verkocht onder voorbehoud,Ruim appartement met balkon aan de Twijnstraat.,koop,2024-01-15
90000096,Twijnstraat,11,,3511ZK,Utrecht,Utrecht,471042,68,,2,1,B,beschikbaar,Ruim appartement met balkon aan de Twijnstraat.,koop,2024-01-15
90000097,Twijnstraat,13,,3511ZK,Utrecht,Utrecht,492363,180,,6,5,B,beschikbaar,Modern herenhuis aan de Twijnstraat.,koop,2024-01-15
90000098,Twijnstraat,15,,3511ZK,Utrecht,Utrecht,646706,102,,3,2,D,beschikbaar,"Compacte woning dichtbij het centrum, Twijnstraat.",koop,2024-01-15
90000099,Twijnstraat,17,,3511ZK,Utrecht,Utrecht,578238,76,202,2,1,D,beschikbaar,Modern herenhuis aan de Twijnstraat.,koop,2024-01-15
90000100,Twijnstraat,19,,3511ZK,Utrecht,Utrecht,591567,128,,4,3,A,beschikbaar,Modern herenhuis aan de Twijnstraat.,koop,2024-01-15
90000101,Coolsingel,1,,3011AD,Rotterdam,Zuid-Holland,447258,74,167,2,1,A,beschikbaar,Lichte bovenwoning aan de Coolsingel.,koop,2024-01-15
90000102,Coolsingel,3,,3011AD,Rotterdam,Zuid-Holland,447132,149,,4,3,B,verkocht onder voorbehoud,Ruim appartement met balkon aan de Coolsingel.,koop,2024-01-15
90000103,Coolsingel,5,,3011AD,Rotterdam,Zuid-Holland,365872,139,,4,3,G,beschikbaar,Modern herenhuis aan de Coolsingel.,koop,2024-01-15
90000104,Coolsingel,7,,3011AD,Rotterdam,Zuid-Holland,363258,99,,3,2,C,beschikbaar,"Karakteristiek pand in het centrum, Coolsingel.",koop,2024-01-15
90000105,Coolsingel,9,,3011AD,Rotterdam,Zuid-Holland,406610,97,225,3,2,C,onder bod,Ruim appartement met balkon aan de Coolsingel.,koop,2024-01-15
90000106,Coolsingel,11,,3011AD,Rotterdam,Zuid-Holland,378816,82,,2,1,C,beschikbaar,Lichte bovenwoning aan de Coolsingel.,koop,2024-01-15
90000107,Coolsingel,13,,3011AD,Rotterdam,Zuid-Holland,354136,136,,4,3,A,beschikbaar,Ruim appartement met balkon aan de Coolsingel.,koop,2024-01-15
90000108,Coolsingel,15,,3011AD,Rotterdam,Zuid-Holland,484542,74,,2,1,C,beschikbaar,"Compacte woning dichtbij het centrum, Coolsingel.",koop,2024-01-15
90000109,Coolsingel,17,,3011AD,Rotterdam,Zuid-Holland,486695,101,,3,2,A,verkocht onder voorbehoud,"Karakteristiek pand in het centrum, Coolsingel.",koop,2024-01-15
90000110,Coolsingel,19,,3011AD,Rotterdam,Zuid-Holland,434439,72,143,2,1,A,beschikbaar,"Compacte woning dichtbij het centrum, Coolsingel.",koop,2024-01-15
90000111,Witte de Withstraat,1,,3012BM,Rotterdam,Zuid-Holland,435245,115,,3,2,C,verkocht onder voorbehoud,Modern herenhuis aan de Witte de Withstraat.,koop,2024-01-15
90000112,Witte de Withstraat,3,,3012BM,Rotterdam,Zuid-Holland,454524,100,88,3,2,B,beschikbaar,Modern herenhuis aan de Witte de Withstraat.,koop,2024-01-15
90000113,Witte de Withstraat,5,,3012BM,Rotterdam,Zuid-Holland,375313,166,242,5,4,A,beschikbaar,Lichte bovenwoning aan de Witte de Withstraat.,koop,2024-01-15
90000114,Witte de Withstraat,7,,3012BM,Rotterdam,Zuid-Holland,539021,76,200,2,1,F,beschikbaar,Sfeervolle woning aan de Witte de Withstraat.,koop,2024-01-15
90000115,Witte de Withstraat,9,,3012BM,Rotterdam,Zuid-Holland,441780,99,153,3,2,A,beschikbaar,"Compacte woning dichtbij het centrum, Witte de Withstraat.",koop,2024-01-15
90000116,Witte de Withstraat,11,,3012BM,Rotterdam,Zuid-Holland,510844,154,,5,4,G,onder bod,Lichte bovenwoning aan de Witte de Withstraat.,koop,2024-01-15
90000117,Witte de Withstraat,13,,3012BM,Rotterdam,Zuid-Holland,368241,134,66,4,3,C,beschikbaar,Ruim appartement met balkon aan de Witte de Withstraat.,koop,2024-01-15
90000118,Witte de Withstraat,15,,3012BM,Rotterdam,Zuid-Holland,506296,124,,4,3,D,onder bod,Sfeervolle woning aan de Witte de Withstraat.,koop,2024-01-15
90000119,Witte de Withstraat,17,,3012BM,Rotterdam,Zuid-Holland,461152,57,,2,1,B,verkocht onder voorbehoud,Modern herenhuis aan de Witte de Withstraat.,koop,2024-01-15
90000120,Witte de Withstraat,19,,3012BM,Rotterdam,Zuid-Holland,524884,73,203,2,1,C,onder bod,"Karakteristiek pand in het centrum, Witte de Withstraat.",koop,2024-01-15
90000121,Nieuwe Binnenweg,1,,3014GA,Rotterdam,Zuid-Holland,550320,59,107,2,1,F,beschikbaar,"Karakteristiek pand in het centrum, Nieuwe Binnenweg.",koop,2024-01-15
90000122,Nieuwe Binnenweg,3,,3014GA,Rotterdam,Zuid-Holland,481140,155,127,5,4,C,beschikbaar,"Compacte woning dichtbij het centrum, Nieuwe Binnenweg.",koop,2024-01-15
90000123,Nieuwe Binnenweg,5,,3014GA,Rotterdam,Zuid-Holland,462534,162,,5,4,E,onder bod,"Compacte woning dichtbij het centrum, Nieuwe Binnenweg.",koop,2024-01-15
90000124,Nieuwe Binnenweg,7,,3014GA,Rotterdam,Zuid-Holland,444857,128,188,4,3,C,verkocht onder voorbehoud,Sfeervolle woning aan de Nieuwe Binnenweg.,koop,2024-01-15
90000125,Nieuwe Binnenweg,9,,3014GA,Rotterdam,Zuid-Holland,437311,179,109,5,4,D,beschikbaar,Ruim appartement met balkon aan de Nieuwe Binnenweg.,koop,2024-01-15
90000126,Nieuwe Binnenweg,11,,3014GA,Rotterdam,Zuid-Holland,442038,74,,2,1,A,beschikbaar,Lichte bovenwoning aan de Nieuwe Binnenweg.,koop,2024-01-15
90000127,Nieuwe Binnenweg,13,,3014GA,Rotterdam,Zuid-Holland,547773,64,227,2,1,C,beschikbaar,"Compacte woning dichtbij het centrum, Nieuwe Binnenweg.",koop,2024-01-15
90000128,Nieuwe Binnenweg,15,,3014GA,Rotterdam,Zuid-Holland,364725,158,,5,4,D,onder bod,"Karakteristiek pand in het centrum, Nieuwe Binnenweg.",koop,2024-01-15
90000129,Nieuwe Binnenweg,17,,3014GA,Rotterdam,Zuid-Holland,482924,118,248,3,2,A,onder bod,Modern herenhuis aan de Nieuwe Binnenweg.,koop,2024-01-15
90000130,Nieuwe Binnenweg,19,,3014GA,Rotterdam,Zuid-Holland,468101,93,151,3,2,C,beschikbaar,Sfeervolle woning aan de Nieuwe Binnenweg.,koop,2024-01-15
90000131,Meent,1,,3011JJ,Rotterdam,Zuid-Holland,487035,108,,3,2,G,onder bod,"Compacte woning dichtbij het centrum, Meent.",koop,2024-01-15
90000132,Meent,3,,3011JJ,Rotterdam,Zuid-Holland,363727,117,228,3,2,B,onder bod,Lichte bovenwoning aan de Meent.,koop,2024-01-15
90000133,Meent,5,,3011JJ,Rotterdam,Zuid-Holland,389419,109,,3,2,D,onder bod,"Karakteristiek pand in het centrum, Meent.",koop,2024-01-15
90000134,Meent,7,,3011JJ,Rotterdam,Zuid-Holland,533102,81,,2,1,B,verkocht onder voorbehoud,Lichte bovenwoning aan de Meent.,koop,2024-01-15
90000135,Meent,9,,3011JJ,Rotterdam,Zuid-Holland,525666,141,,4,3,B,beschikbaar,Lichte bovenwoning aan de Meent.,koop,2024-01-15
90000136,Meent,11,,3011JJ,Rotterdam,Zuid-Holland,386061,99,226,3,2,C,beschikbaar,Ruim appartement met balkon aan de Meent.,koop,2024-01-15
90000137,Meent,13,,3011JJ,Rotterdam,Zuid-Holland,488027,70,,2,1,C,verkocht onder voorbehoud,Sfeervolle woning aan de Meent.,koop,2024-01-15
90000138,Meent,15,,3011JJ,Rotterdam,Zuid-Holland,527304,87,,2,1,A,beschikbaar,Lichte bovenwoning aan de Meent.,koop,2024-01-15
90000139,Meent,17,,3011JJ,Rotterdam,Zuid-Holland,489987,117,,3,2,D,beschikbaar,Ruim appartement met balkon aan de Meent.,koop,2024-01-15
90000140,Meent,19,,3011JJ,Rotterdam,Zuid-Holland,488270,157,102,5,4,D,onder bod,Modern herenhuis aan de Meent.,koop,2024-01-15
90000141,Kruiskade,1,,3012EE,Rotterdam,Zuid-Holland,447311,80,,2,1,A,beschikbaar,"Compacte woning dichtbij het centrum, Kruiskade.",koop,2024-01-15
90000142,Kruiskade,3,,3012EE,Rotterdam,Zuid-Holland,421510,177,,5,4,B,beschikbaar,Modern herenhuis aan de Kruiskade.,koop,2024-01-15
90000143,Kruiskade,5,,3012EE,Rotterdam,Zuid-Holland,448281,58,125,2,1,A,beschikbaar,Ruim appartement met balkon aan de Kruiskade.,koop,2024-01-15
90000144,Kruiskade,7,,3012EE,Rotterdam,Zuid-Holland,567517,130,,4,3,A,beschikbaar,Modern herenhuis aan de Kruiskade.,koop,2024-01-15
90000145,Kruiskade,9,,3012EE,Rotterdam,Zuid-Holland,509614,100,,3,2,C,verkocht onder voorbehoud,"Compacte woning dichtbij het centrum, Kruiskade.",koop,2024-01-15
90000146,Kruiskade,11,,3012EE,Rotterdam,Zuid-Holland,366464,57,193,2,1,D,beschikbaar,Sfeervolle woning aan de Kruiskade.,koop,2024-01-15
90000147,Kruiskade,13,,3012EE,Rotterdam,Zuid-Holland,499596,81,30,2,1,C,beschikbaar,Modern herenhuis aan de Kruiskade.,koop,2024-01-15
90000148,Kruiskade,15,,3012EE,Rotterdam,Zuid-Holland,492627,66,,2,1,B,onder bod,"Compacte woning dichtbij het centrum, Kruiskade.",koop,2024-01-15
90000149,Kruiskade,17,,3012EE,Rotterdam,Zuid-Holland,522255,49,47,2,1,B,verkocht onder voorbehoud,Lichte bovenwoning aan de Kruiskade.,koop,2024-01-15
90000150,Kruiskade,19,,3012EE,Rotterdam,Zuid-Holland,395898,130,120,4,3,C,verkocht onder voorbehoud,Lichte bovenwoning aan de Kruiskade.,koop,2024-01-15
90000151,Stratumseind,1,,5611ET,Eindhoven,Noord-Brabant,335985,162,81,5,4,A,beschikbaar,"Karakteristiek pand in het centrum, Stratumseind.",koop,2024-01-15
90000152,Stratumseind,3,,5611ET,Eindhoven,Noord-Brabant,412012,93,250,3,2,D,verkocht onder voorbehoud,"Karakteristiek pand in het centrum, Stratumseind.",koop,2024-01-15
90000153,Stratumseind,5,,5611ET,Eindhoven,Noord-Brabant,413876,147,,4,3,E,beschikbaar,Ruim appartement met balkon aan de Stratumseind.,koop,2024-01-15
90000154,Stratumseind,7,,5611ET,Eindhoven,Noord-Brabant,540571,66,,2,1,A,onder bod,Ruim appartement met balkon aan de Stratumseind.,koop,2024-01-15
90000155,Stratumseind,9,,5611ET,Eindhoven,Noord-Brabant,515530,154,143,5,4,B,beschikbaar,"Karakteristiek pand in het centrum, Stratumseind.",koop,2024-01-15
90000156,Stratumseind,11,,5611ET,Eindhoven,Noord-Brabant,333163,148,235,4,3,D,beschikbaar,Ruim appartement met balkon aan de Stratumseind.,koop,2024-01-15
90000157,Stratumseind,13,,5611ET,Eindhoven,Noord-Brabant,503012,137,175,4,3,A,beschikbaar,Modern herenhuis aan de Stratumseind.,koop,2024-01-15
